Japanese,English
人権擁護調査官,Special Assistant to the Director of the General Affairs Division
調査救済課長,Director of the Investigation and Remedies Division
人権啓発課長,Director of the Human Rights Promotion Division
《入国管理局》,《Immigration Bureau》
入国管理局長,Director-General of the Immigration Bureau
難民認定室長,"Director of the Refugee Recognition Office, General Affairs Division"
出入国情報管理室長,"Director of the Data Processing System Development Office, General"
入国管理企画官,Immigration Policy Planner
出入国情報分析官,Immigration Information Analyst
入国管理調整官,Immigration Policy Coordinator
入国在留課長,Director of the Entry and Status Division
審査指導官,Senior Assistant for Examination
審判課長,Director of the Adjudication Division
警備課長,Director of the Enforcement Division
警備指導官,Senior Assistant for Enforcement Affairs
登録管理官,Director of the Registration Division
企画調査官,Programs Coordination Officer
法務事務官,Official in the Ministry of Justice
《審議会等》,《Council》
司法試験委員会,National Bar Examination Commission
検察官適格審査会 (長),Public Prosecutors' Qualifications Examination Committee (Chairman)
中央更生保護審査会 （委員長）,National Offenders Rehabilitation Commission (Chairman)
法制審議会(長),Legislative Council of the Ministry of Justice (Chairman)
検察官・公証人特別任用等審査会,Public Prosecutors and Notaries Public Appointment Examination
保護司選考会(長),Volunteer Probation Officers Selection Commission (Chairman)
《施設等機関》,《Facilities》
法務総合研究所(長),Research and Training Institute of the Ministry of Justice (President)
矯正研修所(長),Training Institute for Correctional Personnel (Director)
刑務所(長),Prison (Warden)
少年刑務所(長),Juvenile Prison (Warden)
拘置所(長),Detention House (Warden)
少年院(長),Juvenile Training School (Superintendent)
少年鑑別所(長),Juvenile Classification Home (Director)
婦人補導院(長),Women's Guidance Home (Superintendent)
入国者収容所(長),Immigration Center (Director)
《地方支分部局》,《Local Branch Office》
法務局(長),Legal Affairs Bureau (Director)
地方法務局(長),District Legal Affairs Bureau (Director)
矯正管区(長),Regional Correction Headquarters (Superintendent)
地方更生保護委員会 (委員長),Regional Parole Board (Chairman)
保護観察所(長),Probation Office (Director)
地方入国管理局(長),Regional Immigration Bureau (Director)
《検察庁》,《Public Prosecutors Office》
最高検察庁,Supreme Public Prosecutors Office
検事総長,Prosecutor-General
次長検事,Deputy Prosecutor-General
高等検察庁,High Public Prosecutors Office
次席検事,Deputy Superintending Prosecutor
地方検察庁,District Public Prosecutors Office
次席検事,Deputy Chief Prosecutor
区検察庁,Local Public Prosecutors Office
《外局》,《Independent Organ》
公安審査委員会 (委員長),Public Security Examination Commission (Chairman)
公安調査庁研修所 (長),Training Institute of the Public Security Intelligence Agency
公安調査局(長),Public Security Intelligence Bureau (Director)
公安調査事務所(長),Public Security Intelligence Office (Director)
外務大臣,Minister for Foreign Affairs
外務大臣臨時代理,Minister for Foreign Affairs ad interim
総理大臣が外務大臣臨時代理の場合,"Prime Minister, Minister for Foreign Affairs ad interim"
国務大臣が外務大臣臨時代理の場合,"Minister of State, Minister for Foreign Affairs ad interim"
外務副大臣,Senior Vice-Minister for Foreign Affairs
大臣政務官,Parliamentary Secretary for Foreign Affairs
外務事務次官,Vice-Minister for Foreign Affairs
外務審議官,Deputy Minister for Foreign Affairs
外務省顧問,Adviser to the Minister for Foreign Affairs
外務省参与,Special Assistant to the Minister for Foreign Affairs
外務大臣秘書官,Private Secretary to the Minister for Foreign Affairs
査察担当大使,Ambassador in charge of Inspection
国際貿易・経済担当大使,Ambassador for International Economic Affairs
沖縄担当大使,"Ambassador in Charge of Okinawan Affairs, Representative of the"
地球環境問題担当大使,Ambassador for Global Environmental Affairs
気候変動担当政府代表,Special Envoy for Climate Change
の協定交渉担当政府代表,Japan-Switzerland Economic Partnership Agreements Negotiations
日朝国交正常化担当政府代表,Representative of Japan for Japan-North Korea Normalization Talks
科学技術協力担当大使,Ambassador for Science and Technology Cooperation
第四回アフリカ開発会議担当大使,Ambassador in charge of TICAD IV
関西担当大使,Ambassador for Kansai Region
イラク担当大使,Ambassador in Charge of Iraq
イラク復興支援等調整担当大使,"Ambassador in Charge of Reconstruction Assistance to Iraq, Japan"
アフリカ紛争・難民問題担当大使,Ambassador in Charge of Conflict and Refugee-Related Issues in
ＮＧＯ担当大使,Ambassador for Civil Society
国連担当大使,Ambassador in charge of UN Affairs
監察査察官,Director-General for Inspection
総括審議官,Assistant Vice-Minister
審議官 （各局（部）併任の場合）,"Deputy Director-General, ......（各局（部）名）"
審議官 （官房のみの発令の場合）,Councillor
国会担当参事官,Deputy Assistant Vice-Minister(Parliamentary Affairs)
参事官 （各局（部）併任の場合）,"Deputy Director-General, ......（各局（部）名）"
参事官 （官房のみの発令の場合）,Councillor
参事官（危機管理担当）,Deputy Assistant Vice-Minister(Crisis Management)
考査・政策評価官,Director for Policy Evaluation and Administrative Review
総務課長,"Director, Management and Coordination Division"
外交記録審査室長,"Director, Diplomatic Record Declassification Review Division"
企画官（国会担当）,Senior Coordinator for Parliamentary Affairs
企画官（政策評価担当）,Senior Coordinator for Policy Evaluation
企画官（外交記録公開担当）,Senior Coordinator for Declassification Review of Diplomatic Record
監察査察室長,"Director, Inspection Division"
情報公開室長,"Director, Information Disclosure Division"
外交資料館長,"Director, Diplomatic Record Office"
警備対策室長,"Director, Security Division"
危機管理室長,"Director, Crisis Management Coordination Division"
地方連携推進室長,"Director, Local Partnership Cooperation Division"
図書館長,"Chief Librarian, Library of the Ministry of Foreign Affairs"
人事企画官,Senior Coordinator for Personnel Affairs
企画官（人事評価担当）,Senior Coordinator for Personnel Evaluation
情報通信課長,"Director, Information and Communications Division"
情報システム統括企画官,Principal Senior Coordinator for Information Systems
企画官（通信システム担当）,Senior Coordinator for Communication Systems
企画官（情報セキュリティ担当）,Senior Coordinator for Information and Communications Security
会計調査官,Special Coordinator for Financial Affairs
予算経理官,Senior Coordinator for Budgetary Affairs
在外保健調査官,Health Administrator for Overseas Personnel
福利厚生室長,"Director, Health and Welfare Division"
在外公館課長,"Director, Overseas Establishments Division"
営繕管理官,Senior Coordinator for Building and Property Management
現地職員管理官,Senior Coordinator for Administration of Local Employees
儀典総括官,Principal Deputy Chief of Protocol
儀典外国訪問室長,Deputy Chief of Protocol（Director of the Foreign Visit Division）
儀典調整官／儀典官,Deputy Chief of Protocol
外務報道官,Press Secretary/Director-General for Press and Public Relations
報道課長,"Director, Press Division"
国内広報課長,"Director, Domestic Public Relations Division"
広聴室長,"Director, Office for Comment and Opinion"
ＩＴ広報室長,"Director, Internet PR Division"
国際報道官,"Assistant Press Secretary/Director, International Press Division"
広報文化交流部長,"Director-General, Public Diplomacy Department"
総合計画課長,"Director, Public Diplomacy Planning Division"
文化交流課長,"Director, Cultural Affairs Division"
国際文化協力室長,"Director, Multilateral Cultural Cooperation Division"
人物交流室長,"Director, Exchange Programs Division"
総務課長,"Director, Policy Coordination Division"
主任外交政策調整官,Principal Senior Foreign Policy Coordinator
外交政策調整官,Senior Foreign Policy Coordinator
政策企画室長,"Director, Policy Planning Division"
安全保障政策課長,"Director, National Security Policy Division"
国際テロ対策協力室長,"Director, International Counter-Terrorism Cooperation Division"
国連企画調整課長,"Director, United Nations Planning and Administration Division"
国連政策課長,"Director, United Nations Policy Division"
国際平和協力室長,"Director, International Peace Cooperation Division"
人権人道課長,"Director, Human Rights and Humanitarian Affairs Division"
国際組織犯罪室長,"Director, International Organized Crime Division"
軍備管理軍縮課長,"Director, Arms Control and Disarmament Division"
通常兵器室長,"Director, Conventional Arms Division"
生物・化学兵器禁止条約室長,"Director, Biological and Chemical Weapons Conventions Division"
不拡散・科学原子力課長,"Director, Non-Proliferation, Science and Nuclear Energy Division"
国際科学協力室長,"Director, International Science Cooperation Division"
国際原子力協力室,"Director, International Nuclear Energy Cooperation Division"
アジア大洋州局長,"Director-General, Asian and Oceanian Affairs Bureau"
地域政策課長,"Director, Regional Policy Division"
外地整理室長,"Director, Former Overseas Territories Service Division"
北東アジア課長,"Director, Northeast Asia Division"
地域調整官,Senior Regional Coordinator
日韓経済室長,"Director, Japan-Korea Economic Affairs Division"
中国課長,"Director, China and Mongolia Division"
日中経済室長,"Director,Japan-China Economic Affairs Division"
大洋州課長,"Director, Oceania Division"
南部アジア部長,"Director-General, Southeast and Southwest Asian Affairs Department"
南東アジア第一課長,"Director, First Southeast Asia Division"
南東アジア第二課長,"Director, Second Southeast Asia Division"
南西アジア課長,"Director, Southwest Asia Division"
北米局長,"Director-General, North American Affairs Bureau"
北米第一課長,"Director, First North America Division"
北米第二課長,"Director, Second North America Division"
日米安全保障条約課長,"Director, Japan-U.S. Security Treaty Division"
日米地域協定室長,"Director, Status of U.S. Forces Agreement Division"
中南米局長,"Director-General, Latin American and Caribbean Affairs Bureau"
中米課長,"Director, Mexico and Central America Division"
南米カリブ課長,"Director, South America and Caribbean Division"
南米カリブ室,"Director, Caribbean Division"
欧州局長,"Director-General, European Affairs Bureau"
政策課長,"Director, European Policy Division"
西欧課長,"Director, Western Europe Division"
中・東欧課長,"Director, Central and South Eastern Europe Division"
ロシア課長,"Director, Russian Division"
ロシア支援室長,Director of the Russia Assistance Division
中央アジア・コーカサス室長,"Director, Central Asia and Caucasus Division"
中東アフリカ局長,"Director-General, Middle Eastern and African Affairs Bureau"
中東第一課長,"Director, First Middle East Division"
中東第二課長,"Director, Second Middle East Division"
アフリカ審議官,Director-General for Sub-Saharan African Affairs
アフリカ第一課長,"Director, First Africa Division"
アフリカ第二課長,"Director, Second Africa Division"
政策課課長,"Director, Economic Policy Division"
調査室長,"Director, Research Division"
経済協力開発機構室長,"Director, OECD Division"
国際貿易課長,"Director, International Trade Division"
知的財産室長,"Director, Intellectual Property Affairs Division"
サービス貿易室長,"Director, Services Trade Division"
世界貿易機関紛争処理室長,"Director, WTO Dispute Settlement Division"
経済連携課長,"Director, Economic Partnership Division"
アジア太平洋経済協力室長,"Director, APEC Division"
アジア欧州協力室長,"Director, Asia-Europe Cooperation Division"
経済安全保障課長,"Director, Economic Security Division"
漁業室長,"Director, Fishery Division"
海洋室長,"Director, Ocean Division"
経済統合体課長,"Director, Economic Integration Division"
国際協力局長,"Director-General, International Cooperation Bureau"
政策課長,"Director, Aid Policy and Management Division"
評価室長,"Director, ODA Evaluation Division"
総合計画課長,"Director, Aid Policy Planning Division"
民間援助連携室長,"Director, Non-Governmental Organizations Cooperation Division"
国別開発協力第一課長,"Director, First Country Assistance Planning Division"
国別開発協力第二課長,"Director, Second Country Assistance Planning Division"
無償資金・技術協力課長,"Director, Grant Aid and Technical Cooperation Division"
国際緊急援助室,"Director, Overseas Disaster Assistance Division"
有償資金協力課長,"Director, Loan Aid Division"
地球規模課題審議官,Director-General for Global Issues
多国間協力課長,"Director, Global Issues Cooperation Division"
人道支援室長,"Director, Humanitarian Assistance Division"
専門機関課長,"Director, Specialized Agencies Division"
地球環境課長,"Director, Global Environment Division"
気候変動室長,"Director, Climate Change Division"
国際法局長,"Director-General, International Legal Affairs Bureau"
国際法課長,"Director, International Legal Affairs Division"
法律顧問官,Counsel for International Legal Affairs
条約課長,"Director, Treaties Division"
経済条約課長,"Director, Economic Treaties Division"
条約交渉官,Counsel for Treaties Negotiation
社会条約官,"Director, Social Treaties Division"
領事局長,"Director-General, Consular Affairs Bureau"
政策課長,"Director, Consular Policy Division"
領事サービス室長,"Director, Consular Service Division"
海外邦人安全課長,"Director, Japanese Nationals Overseas Safety Division"
邦人援護官,Senior Coordinator for Protection of Japanese Nationals Overseas
邦人テロ対策室長,"Director, Terrorism Prevention Division"
旅券課長,"Director, Passport Division"
外国人課長,"Director, Foreign Nationals' Affairs Division"
国際情報統括官,"Director-General, Intelligence and Analysis Service"
（第一）国際情報官,"Director, First Division, Intelligence and Analysis Service"
（第二）国際情報官,"Director, Second Division, Intelligence and Analysis Service"
（第三）国際情報官,"Director, Third Division, Intelligence and Analysis Service"
（第四）国際情報官,"Director, Fourth Division, Intelligence and Analysis Service"
情報分析官,Senior Coordinator for Intelligence Analysis
研修所指導官,"Deputy Director of Operations, Foreign Service Training Institute,"
特命全権大使,Ambassador Extraordinary and Plenipotentiary
臨時代理大使,Charge d'Affaires ad interim
特命全権公使,Envoy Extraordinary and Minister Plenipotentiary
一等書記官,First Secretary
二等書記官,Second Secretary
三等書記官,Third Secretary
外交官補,Attache
総領事代理,Acting Consul-General
領事代理,Acting Consul
領事館補,Vice-Consul
一、二、三等理事官,Attaché
副理事官,Assistant Attaché
一、二、三等電信官,Attaché
電信官補,Assistant Attaché
防衛駐在官,Defense Attaché
特派大使,Ambassador on Special Mission
１．本省,Main Organs
財務大臣,Minister of Finance
大臣秘書官,Personal Secretary to the Minister
大臣政務官,Parliamentary Secretary for Finance
事務次官,Administrative Vice Minister (Vice Minister)
財務省顧問,Special Adviser to the Minister of Finance
財務省参与,Senior Adviser to the Minister of Finance
財務省参事,Adviser to the Minister of Finance
(1)内部部局,Internal Subdivisions
大臣官房,Minister’s Secretariat
総括審議官,Deputy Vice Minister for Policy Planning and Co-ordination
審議官（官房担当）,Deputy Director-General of the Minister’s Secretariat
専門調査官,"Special Officer for Research, Minister’s Secretariat"
財務官室,Office of the Vice Minister of Finance for International Affairs
首席監察官,Chief Personnel Inspector
人事調査官,Special Officer for Research on Personnel Management
企画調整室,Planning and Co-ordination Office
情報公開・個人情報保護室,Office of Information Disclosure and Personal Information Protection
政策評価室,Policy Evaluation Office
情報管理室,Network Systems Management Office
国会連絡調整官,Special Liaison Officer with the Diet
広報企画専門官,Special Planning Officer for Public Relations
行政相談官,Administrative Counselor
能率専門官,Special Officer for Efficiency
会計調査官,Special Officer for Research on Accounts
総合政策課,Policy Planning and Research Division
政策調整室,Policy Co-ordination Office
調査統計官,Special Officer for Research and Statistics
研究分析官,Special Officer for Investigation and Analysis
政策金融課,Government Financial Institutions Division
主任公庫等実地監査官,Senior Government Financial Institutions Inspector
公庫等実地監査官,Government Financial Institutions Inspector
地震保険計理官,Actuary for Earthquake Insurance
地震保険監査官,Earthquake Insurance Inspector
信用機構課,Financial System Stabilization Division
機構業務室,Financial Stability Organizations Office
厚生管理官,Director for Health and Welfare
主計事務管理室,Budget Information Systems Office
上席主計事務専門官,Special Officer for Budget Information Systems
主任主計事務専門官,Chief Officer for Budget Information Systems
法規調査官,Special Officer for Research on Legal Matters
会計制度調査官,Special Officer for Research on Public Accounting
給与共済課,Allowance Control and Mutual Assistance Insurance Division
給与調査官,Special Officer for Research on Allowance Control
共済調査官,Special Officer for Research on Mutual Assistance
共済計理官,Actuary for Mutual Assistance Insurance
共済監査官,Inspector for Mutual Assistance Insurance
財政調査官,Special Officer for Research on Budgetary Matters
主計監査官,Chief Budget Inspector
主計企画官(法規),Director for Legal Affairs
主計企画官(調整),Director for Inter-Division Affairs
上席予算実地監査官,Senior Budget Inspector
予算実地監査官,Budget Inspector
審議官(主税局担当),Deputy Director-General of the Tax Bureau
主税企画官（広報）,Director for Public Relations on Taxation
主税企画官（地方税）,Director for Local Tax Policy
主税調査官,Special Officer for Research on Tax
税制第一課,Income Tax and Property Tax Policy Division
主税企画官,Director for Property Tax Policy
税制第二課,Indirect Tax Policy Division
主税企画官,Director for Consumption Tax Policy
税制第三課,Corporation Tax Policy Division
審議官(関税局担当),Deputy Director-General of the Customs and Tariff Bureau
事務管理室,Information Management Office
電算システム専門官,Special Officer for Information Technology
税関考査管理室,Office of Inspection of the Custom-Houses
税関考査官,Inspector of the Custom-Houses
税関調査室,Customs Administration Research Office
経済連携室,Office of Economic Partnership
特殊関税専門官,Director for Trade Remedy Affairs
原産地規則専門官,Director for Rules of Origin
国際協力専門官,Director for International Co-operation
保税調査官,Special Officer for Research on Customs Area
関税分類調査官,Director for Research on Customs and Tariff Classification
関税評価専門官,Director for Customs Valuation
知的財産専門官,Director for Intellectual Property Rights
密輸情報専門官,Director for Intelligence
審議官(理財局担当),Deputy Director-General of the Financial Bureau
たばこ塩事業室,Tobacco and Salt Industries Office
理財調査官,Special Officer for Research on Finance
通貨企画調整室,Office of Currency Matters
国庫企画官,Director for Currency System and Cash Management
国庫調査官,Special Officer for Research on Treasury
国債企画課,Debt Management Policy Division
国債企画官,Director for Debt Management Policy
国債調査官,Special Officer for Research on Debt Management Policy
国債業務課,Market Finance Division
市場分析官,Special Officer for Analysis on Debt Market
財政投融資総括課,Fiscal Investment and Loan Program Division
資金企画室,Asset-Liability Management Office
財政投融資企画官,Director for Fiscal Investment and Loan Program System
財政投融資調査官,Special Officer for Research on Fiscal Investment and Loan Program
国有財産企画課,National Property Policy Planning and Legal Division
国有財産情報室,National Property Information Office
国有財産調査官,Special Officer for Research on National Property
国有財産調整課,Policy Co-ordination for National Property Management Division
国有財産有効利用推進室,Office for Promotion of Efficient Use of National Property
宿舎技術専門官,Special Officer for Official Housing Construction and Maintenance
国有財産監査指導官,National property Inspector
国有財産業務課,National Property Acquisition and Disposition Division
特定国有財産整備室,Office for Consolidation of Specific National Property
国有財産審理室,National Property Examination and Appraisal Office
国有財産評価指導官,National Property Appraiser
電算システム管理官,Special Officer for Information System
財政融資監査官,Chief Fiscal Loan Inspector
財政融資実地監査官,Fiscal Loan Inspector
訟務専門官,Special Officer for Lawsuits
審議官(国際局担当),Deputy Director-General of the International Bureau
外国為替室,Legal Office
為替実査室,Office of Foreign Exchange Examiners
外国為替調査官,Special Officer for Research on Foreign Exchange Transactions
主任為替実査官,Senior Foreign Exchange Examiner
為替実査官,Foreign Exchange Examiner
国際機構課,International Organizations Division
地域協力課,Regional Financial Cooperation Division
国際調整室,International Co-operation Office
地域協力企画官,Director for Promotion of Regional Financial Cooperation
為替市場課,Foreign Exchange Markets Division
国際収支室,Office of Balance of Payments and International Capital Markets
国際市場調査官,Special Officer for Research on International Markets
開発政策課,Development Policy Division
開発金融専門官,Special Officer for Development Finance
開発機関課,Development Institutions Division
開発企画官,Director for Development Issues
担当審議官,Deputy Director-General of the ･･･ Bureau
課長補佐,Deputy Director of the ･･･ Division
主計官補佐,Deputy Budget Examiner
財務事務官,"Official, Ministry of Finance"
財務技官,"Technical Official, Ministry of Finance"
(2) 審議会等,Councils
財政制度等審議会,Fiscal System Council
関税・外国為替等審議会,"Council on Customs, Tariff, Foreign Exchange and other Transactions"
関税等不服審査会,Customs Dissatisfaction Review Committee
独立行政法人評価委員会,Independent Administrative Institution Evaluation Committee
(3) 施設等機関,Facilities
財務総合政策研究所,"Policy Research Institute, Ministry of Finance"
会計センター,Accounting Center
関税中央分析所,Central Customs Laboratory
税関研修所,Customs Training Institute
(4) 地方支分部局,Local Branch Offices
福岡財務支局,Fukuoka Local Finance Branch Bureau
財務事務所,Local Finance Offices
沖縄地区税関,Okinawa Custom-House
２．外局,Independent Organs
(1) 内部部局,Internal Subdivisions
長官官房,Commissioner’s Secretariat
審議官（国際担当）,Deputy Commissioner (International Affairs)
税務相談官,Tax Counselor
監督評価官室,Office of Management Supervision
監督評価官,Management Supervisor
国税企画官,Director (Management and Co-ordination)
国際業務課,International Operations Division
相互協議室,Office of Mutual Agreement Procedures
国際企画官,Director (Mutual Agreement Procedures)
厚生管理官,Director (Health and Welfare)
広報広聴官,Director (Public Relations)
首席国税庁監察官,Chief Internal Inspector
国税庁監察官,Internal Inspector
資産評価企画官,Director (Property Valuation)
鑑定企画官,Director (Analysis and Brewing Technology)
課税総括課,Taxation Management Division
消費税室,Consumption Tax Office
課税企画官,Director (Taxation)
個人課税課,Individual Taxation Division
資産課税課,Property Taxation Division
法人課税課,Corporation Taxation Division
酒税企画官,Director (Liquor Tax and Industry)
調査査察部,Large Enterprise Examination and Criminal Investigation Department
国際調査管理官,Director (International Examination)
国税実査官,Assistant Chief
国税調査官,Examiner
国税査察官,Investigator
国税審議会,National Tax Council
税務大学校,National Tax College
(4) 特別の機関,Attached Organizations
国税不服審判所,National Tax Tribunal
(5) 地方支分部局,Local Branch Offices
沖縄国税事務所,Okinawa Regional Taxation Office
文部科学省,"Ministry of Education, Culture, Sports, Science and Technology"
文部科学大臣,"Minister of Education, Culture, Sports, Science and Technology"
文部科学事務次官,"Vice Minister of Education, Culture, Sports, Science and Technology"
審議官・技術参事官,Deputy Director-General
官房企画官,Director for Minister's Secretariat
教科調査官,Senior Specialist for Curriculum
学術調査官,Senior Scientific Research Specialist
文化財調査官,Senior Cultural Properties Specialist
文化財管理指導官,Senior Cultural Properties Protection Specialist
副長・課長補佐,Deputy Director
係長・主任,Unit Chief
係員 事務官,Official
主任（ ～ ）,Chief (~ )
行政改革官,Director for Administrative Reform
広報調整官,Coordinator for Public Relations
報告調整官,Coordinator for Statistics
文部科学広報官,Public Relations Secretary
計画調整班,Planning Coordination Section
人事評価調整官,Coordination for personnel Evalution
人事企画官,Director for Personnel Planning
高齢者雇用対策官,Senior Specialist for the Personnel Management of Elderly Officials
公務員倫理専門官,Senior Specialist for National Public Service Ethics
任用計画官,Senior Specialist for Planning of Recruitment and Appointments
福利厚生室,Office for Welfare and Benefits
国会連絡調整室,Office for Parliamentary Relations
文書管理班,Archives and Documents Section
法令審議室,Office for Legal Affairs
行政改革推進室,Office for Administrative Reform
教育改革推進室,Office for the Promotion of Education Reform
情報公開・個人情報保護室,"Office for Information Disclosure, Protection of Personal Information"
総務課企画官,Director for Management and Coordination Division
広報推進専門官,Senior Specialist for Public Relations Promotion
公益通報者保護専門官,Senior Specialist for Protecting Public Interest Whistle Blowers
広報専門官,Senior Specialist for Information
連絡調整官,Coordinator for Parliamentary Relations
情報開示官,Supervisor for Information Disclosure
個人情報保護専門官,Senior Specialist for the Protection of Personal Information
能率専門官,Senior Specialist for Work Organization
報道専門官,Senior Specialist for the Press
政府調達室,Office for Government Procurement
総括予算班,Budget Coordination Section
第一予算班,Budget Section I
第二予算班,Budget Section II
第三予算班,Budget Section Ⅲ
第四予算班,Budget Section Ⅳ
政府調達企画官,Director for Government Procurement Planning
予算企画調整官,Director for Budget Planning and Coordination
政府調達専門官,Senior Specialist for Government Procurement
監査財務企画官,Director for Audit and Financial Planning
国有財産調査官,Senior Specialist for Government Property
経理高度化専門官,Senior Specialist for Accounts
宿舎専門官,Senior Specialist for Government Official Housing
情報化推進室,Office for Information Technology Application
情報システム専門官,Senior Specialist for Information System
情報化推進専門官,Senior Specialist for Information Technology Application
評価専門官,Senior Specialist for Evaluation
税制専門官,Senior Specialist for Tax Policy
国際協力政策室,Office for International Cooperation
国際協力調査官,Senior Specialist for International Cooperation
人物交流専門官,Senior Specialist for Exchange of Personnel
海外協力官,Senior Specialist for Development Cooperation
開発協力推進専門官,Senior Specialist for Development Assistance
企画調整室,Office for Planning and Coordination
国際調整官,Coordinator for International Affairs
国際統括官,Director-General for International Affairs
国際統括官付,Office of the Director-General for International Affairs
国際統括官補佐,Assistant Director-General for International Affairs
ユネスコ協力官,Senior Specialist for Cooperation with UNESCO
国際協力調整官,Coordinator for International Cooperation
文教施設企画部,Ｄepartment of Facilities Planning and Administration
施設企画課,Facilities Planning Division
企画調整官,Coordinator for Facilities Planning
文教施設環境対策専門官,Senior Specialist for Environmental Planning of Facilities
防災推進室,Office for Disaster Prevention
契約情報室,Office for Contract Information
工事契約専門官,Senior Specialist for Construction Contracts
施設助成課,Local Facilities Aid Division
計画整備専門官,Senior Specialist for Facilities Planning
生涯学習政策局長,"Director-General, Lifelong Learning Policy Bureau"
生涯学習総括官,"Deputy Director-General, Lifelong Learning Policy Bureau"
地域政策室,Office for Community Development Policy
地域政策調整官,Coordinator for Community Development Policy
地域づくり支援室,Office for the Promotion of Community Development
生涯学習企画官,Director for Lifelong Learning Policy Planning
専門調査官,Senior Specialist
調査企画課,Analytical Research Planning Division
分析調査官,Senior Specialist for Statistical Analysis
外国調査官,Senior Specialist for Overseas Education Research
生涯学習推進課,Lifelong Learning Promotion Division
専修学校教育振興室,Office for the Promotion of Specialized Training College Education
学校開放推進専門官,Senior Specialist for Access to School Facilities
生涯学習調査官,Senior Specialist for Lifelong Learning Policy
社会教育課,Social Education Division
地域学習活動推進室,Office for the Promotion of Regional Learning Activities
社会奉仕活動推進企画官,Director for Volunteer and Service-Learning Activities
高齢者教育専門官,Senior Specialist for Senior Citizen Education
ボランティア活動推進専門官,Senior Specialist for Volunteer Activities
男女共同参画学習課,Gender Equality Learning Division
家庭教育支援室,Office for the Support of Educational in the Home
女性政策調整官,Coordinator for Women's Educational Policy
参事官付,Educational Media and Information Policy Division
情報政策室,Office for the Planning and Coordination of Information Policy
教育メディア調査官,Senior Specialist for Educational Media Research
社会教育官,Supervisor for Social Education
初等中等教育局,Elementary and Secondary Education Bureau
初等中等教育局長,"Director-General, Elementary and Secondary Education Bureau"
初等中等教育企画課,Elementary and Secondary Education Planning Division
教育制度改革室,Office for Education System Reform
教員人事管理システム専門官,Senior Specialist for the Personnel Management System of Teachers
教育財政室,Office for Local Educational Finances
教職員配置計画専門官,Senior Specialist for Teacher Allocation Planning
生涯生活設計専門官,Senior Specialist for Life Planning
教育課程課,School Curriculum Division
教育課程企画室,Office for Curriculum Planning
学校教育官,Senior Specialist for School Education
環境教育調査官,Senior Specialist for Environmental Education
道徳教育調査官,Senior Specialist for Moral Education
学力調査室,Office for Assessment for Academic Ability
児童生徒課,Student Affairs Division
生徒指導室,Office for Student Guidance Policy
生徒指導調査官,Senior Specialist for Student Guidance
進路指導調査官,Senior Specialist for Career Guidance
幼児教育課,Early Childhood Education Division
幼児教育企画官,Director for Early Childhood Education Policy Planning
子育て支援指導官,Child Care Support Adviser for Kindergarten Education
特別支援教育課,Special Support Education Division
特別支援教育企画官,Director for Special Support Education Policy Planning
特別支援教育調査官,Senior Specialist for Special Support Education
特殊教育調査官,Senior Specialist for Special Education
軽度発達障害支援専門官,Senior Specialist for Mild Developmental Disabilities
国際教育課,International Education Division
国際理解教育専門官,Senior Specialist for the Education of International Understanding
海外子女教育専門官,Senior Specialist for the Education of Overseas Japanese Children
教科書課,Textbook Division
教科書企画官,Director for Textbook Policy
訟務専門官,Senior Specialist for Litigation
教科書検定調整専門官,Senior Specialist for the Coordination of Textbook Authorization
教科書情報専門官,Senior Specialist for Textbook Information
教科書調査官,Senior Specialist for Textbooks
教職員課,Educational Personnel Division
教員養成制度企画官,Director for Teacher Training System
教員研修企画官,Director for In-service Teacher Training
教員養成カリキュラム開発専門官,Senior Specialist for Teacher Training Curriculum Development
初任者研修専門官,Senior Specialist for Teacher Induction
教員人材確保専門官,Senior Specialist for Teacher Recruitment
参事官付,Vocational Education and Information Technology Education Division
視学委員,Special Inspector
産業教育調査官,Senior Specialist for Vocational Education
情報教育調査官,Senior Specialist for Information Technology Education
高等教育局,Higher Education Bureau
高等教育政策室,Office for Higher Education Policy
国際企画室,Office for International Planning
国際企画専門官,Senior Specialist for International Planning
国立大学法人評価委員会室,Office for National University Corporation Evaluation Committee
大学評価専門官,Senior Specialist for University Evaluation
大学振興課,University Promotion Division
大学改革推進室,Office for University Reform
大学入試室,Office for University Entrance Examinations
大学設置室,Office for University Chartering
専門教育課,Technical Education Division
教員養成企画室,Office for Teacher Training Planning
専門職大学院室,Office for Professional Graduate School
インターンシップ推進専門官,Senior Specialist for Internship Programs Promotion
医学教育課,Medical Education Division
大学病院支援室,Office for University Hospital Support
がん医療人材育成専門官,Senior Specialist for Cancer Care Personnel Development
救急医療専門官,Senior Specialist for Emergency Medicine
病院支援専門官,Senior Specialist for University Hospital Support
エイズ・感染症医療専門官,Senior Specialist for AIDS and Other Infectious Diseases
看護教育専門官,Senior Specialist for Nursing Education
介護福祉人材育成専門官,Senior Specialist for the Human Resources of Care and Welfare
薬学教育専門官,Senior Specialist for Pharmaceutical Education
学生支援課,Student Services Division
留学生交流室,Office for Student Exchange
育英奨学専門官,Senior Specialist for Scholarship Policy
就職指導専門官,Senior Specialist for Career Planning
外国人学生指導専門官,Senior Specialist for Foreign Student Advising
国立大学法人支援課,National University Corporation Support Division
国立大学政策専門官,Senior Specialist for National University Policy
財務経営専門官,Senior Specialist for Finance and Management
私学部長,"Director-General, Private Education Institution Department"
